2022-03-15 18:44:40.308 | INFO     | __main__:load_project_model:586 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/dowel_4.pth
2022-03-15 18:44:57.557 | INFO     | __main__:train:374 - Epoch-0, dowel | all: 0.42382, 0.94585 | 2: 0.48262, 0.94095| 3: 0.45340, 0.95672 | 4: 0.52589, 0.88548
2022-03-15 18:50:12.174 | INFO     | __main__:load_project_model:582 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/dowel_2.pth
2022-03-15 18:50:12.193 | INFO     | __main__:load_project_model:584 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/dowel_3.pth
2022-03-15 18:50:12.220 | INFO     | __main__:load_project_model:586 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/dowel_4.pth
2022-03-15 18:50:29.708 | INFO     | __main__:train:374 - Epoch-20, dowel | all: 0.87204, 0.99270 | 2: 0.56435, 0.98026| 3: 0.86095, 0.99240 | 4: 0.83099, 0.97541
2022-03-15 18:55:44.393 | INFO     | __main__:load_project_model:582 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/dowel_2.pth
2022-03-15 18:55:44.411 | INFO     | __main__:load_project_model:584 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/dowel_3.pth
2022-03-15 18:55:44.435 | INFO     | __main__:load_project_model:586 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/dowel_4.pth
2022-03-15 18:56:01.768 | INFO     | __main__:train:374 - Epoch-40, dowel | all: 0.93787, 0.99451 | 2: 0.65643, 0.98313| 3: 0.92308, 0.99339 | 4: 0.86317, 0.98012
2022-03-15 19:01:16.592 | INFO     | __main__:load_project_model:582 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/dowel_2.pth
2022-03-15 19:01:16.611 | INFO     | __main__:load_project_model:584 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/dowel_3.pth
2022-03-15 19:01:16.635 | INFO     | __main__:load_project_model:586 - Load from ./result_3D/PFMT_resnet34-resnet50-small-256-NotPE_888/ckpt/dowel_4.pth
